freq,indic_cr,unit,geo\TIME_PERIOD	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,PRIS_ACT_CAP,NR,AL	4659 	4618 	4998 	5689 	5981 	6031 	5674 	5316 	5045 	4614 
A,PRIS_ACT_CAP,NR,AT	8770 	8805 	8862 	8692 	8665 	8619 	8852 	9163 	9072 	8488 
A,PRIS_ACT_CAP,NR,BA	2757 	: 	2898 	2825 	2730 	2832 	2820 	4377 	4482 	4097 
A,PRIS_ACT_CAP,NR,BE	11040 	11183 	11818 	: 	10994 	: 	10471 	10261 	10559 	10381 
A,PRIS_ACT_CAP,NR,BG	9885 	9493 	8834 	7870 	7408 	7345 	6988 	6651 	6448 	6251 
A,PRIS_ACT_CAP,NR,CH	5626 	6102 	6652 	6519 	6498 	6507 	6564 	6602 	6568 	6183 
A,PRIS_ACT_CAP,NR,CY	622 	678 	553 	532 	547 	586 	592 	619 	759 	: 
A,PRIS_ACT_CAP,NR,CZ	23170 	22644 	16645 	18658 	20866 	22481 	22159 	21577 	21048 	19286 
A,PRIS_ACT_CAP,NR,DE	69543 	68533 	66221 	63228 	63020 	64291 	65841 	65762 	63146 	59585 
A,PRIS_ACT_CAP,NR,DK	3947 	3829 	4091 	3583 	3203 	3408 	3418 	3635 	3920 	4166 
A,PRIS_ACT_CAP,NR,EE	3400 	3286 	3023 	3034 	2823 	2864 	2723 	2584 	2487 	2366 
A,PRIS_ACT_CAP,NR,EL	12479 	12475 	12693 	11798 	9611 	9560 	10011 	10654 	10891 	11379 
A,PRIS_ACT_CAP,NR,ES	70472 	68597 	66765 	65017 	61614 	59589 	58812 	58883 	58517 	55180 
A,PRIS_ACT_CAP,NR,FI	3268 	3306 	3295 	3148 	3135 	3156 	3082 	2956 	2945 	2751 
A,PRIS_ACT_CAP,NR,FR	64787 	66572 	67075 	66270 	66678 	68432 	68974 	70059 	70739 	62673 
A,PRIS_ACT_CAP,NR,HR	5084 	4741 	4352 	3763 	3341 	3108 	3190 	3217 	3533 	3531 
A,PRIS_ACT_CAP,NR,HU	17210 	17179 	17841 	17890 	17449 	17658 	17343 	17251 	16664 	16726 
A,PRIS_ACT_CAP,NR,IE	4216 	4287 	4088 	3777 	3755 	3718 	3680 	3962 	4017 	3810 
A,PRIS_ACT_CAP,NR,IS	150 	153 	147 	154 	139 	116 	137 	136 	158 	141 
A,PRIS_ACT_CAP,NR,IT	68325 	67102 	63848 	54745 	53410 	55978 	59038 	61131 	62232 	54605 
A,PRIS_ACT_CAP,NR,LI	71 	60 	68 	53 	53 	72 	73 	63 	43 	64 
A,PRIS_ACT_CAP,NR,LT	9920 	9729 	9261 	8636 	7355 	6815 	6599 	6485 	6138 	5320 
A,PRIS_ACT_CAP,NR,LU	637 	666 	656 	626 	691 	724 	684 	656 	608 	557 
A,PRIS_ACT_CAP,NR,LV	6561 	6117 	5136 	4745 	4409 	4243 	3765 	3522 	3414 	3104 
A,PRIS_ACT_CAP,NR,ME	1328 	1331 	1064 	1123 	1131 	1123 	1119 	1125 	1090 	810 
A,PRIS_ACT_CAP,NR,MK	: 	: 	: 	: 	: 	3231 	3031 	: 	: 	: 
A,PRIS_ACT_CAP,NR,MT	584 	585 	615 	581 	569 	553 	591 	635 	754 	864 
A,PRIS_ACT_CAP,NR,NL	13969 	13473 	12721 	11934 	10850 	10601 	10874 	11251 	11777 	11024 
A,PRIS_ACT_CAP,NR,NO	3866 	4052 	3869 	4103 	4056 	4192 	4164 	3791 	3561 	3533 
A,PRIS_ACT_CAP,NR,PL	82832 	85459 	80165 	79345 	72695 	72209 	74480 	72818 	74612 	68354 
A,PRIS_ACT_CAP,NR,PT	12955 	13875 	14535 	14198 	14373 	13917 	13587 	13021 	12947 	11502 
A,PRIS_ACT_CAP,NR,RO	30694 	31817 	33434 	30156 	28334 	27455 	23450 	20792 	20578 	21753 
A,PRIS_ACT_CAP,NR,RS	11070 	10226 	10031 	10288 	10064 	10672 	10807 	10871 	11077 	10540 
A,PRIS_ACT_CAP,NR,SE	6669 	6296 	5723 	5807 	5691 	5658 	5713 	6114 	6719 	7297 
A,PRIS_ACT_CAP,NR,SI	1273 	1377 	1360 	1522 	1399 	1308 	: 	1346 	1396 	1449 
A,PRIS_ACT_CAP,NR,SK	10525 	10850 	9753 	10020 	9913 	9995 	10028 	10294 	10555 	10519 
A,PRIS_ACT_CAP,NR,TR	128604 	136020 	145468 	159397 	178257 	200727 	233415 	264842 	291546 	267883 
A,PRIS_ACT_CAP,NR,UKC-L	84428 	84886 	81884 	83678 	84444 	83604 	84441 	81904 	: 	: 
A,PRIS_ACT_CAP,NR,UKM	8178 	8057 	7894 	7731 	7744 	7579 	7436 	: 	: 	: 
A,PRIS_ACT_CAP,NR,UKN	1673 	1682 	1796 	1709 	1447 	1407 	1411 	1407 	: 	: 
A,PRIS_ACT_CAP,NR,XK	1441 	1737 	1776 	1854 	1478 	1648 	1709 	1567 	1806 	1396 
A,PRIS_ACT_CAP,P_HTHAB,AL	164.53 	: 	: 	196.44 	206.79 	208.97 	197.25 	185.21 	176.25 	162.12 
A,PRIS_ACT_CAP,P_HTHAB,AT	104.71 	104.72 	104.85 	102.18 	101.03 	99.18 	100.90 	103.86 	102.41 	95.36 
A,PRIS_ACT_CAP,P_HTHAB,BA	71.74 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PRIS_ACT_CAP,P_HTHAB,BE	100.36 	100.79 	105.88 	: 	97.84 	: 	92.24 	90.02 	92.17 	90.09 
A,PRIS_ACT_CAP,P_HTHAB,BG	134.14 	129.56 	121.27 	108.62 	102.86 	102.67 	98.40 	94.34 	92.11 	89.92 
A,PRIS_ACT_CAP,P_HTHAB,CH	71.49 	76.71 	82.75 	80.09 	78.88 	78.14 	77.96 	77.82 	76.87 	71.84 
A,PRIS_ACT_CAP,P_HTHAB,CY	74.07 	78.65 	63.87 	62.00 	64.58 	69.08 	69.26 	71.62 	86.65 	: 
A,PRIS_ACT_CAP,P_HTHAB,CZ	220.95 	215.55 	158.28 	177.49 	198.00 	213.01 	209.47 	203.36 	197.64 	180.35 
A,PRIS_ACT_CAP,P_HTHAB,DE	86.69 	85.32 	82.24 	78.28 	77.61 	78.24 	79.79 	79.43 	76.06 	71.65 
A,PRIS_ACT_CAP,P_HTHAB,DK	70.98 	68.61 	73.02 	63.67 	56.59 	59.71 	59.46 	62.88 	67.52 	71.55 
A,PRIS_ACT_CAP,P_HTHAB,EE	255.70 	247.96 	235.73 	230.58 	214.70 	217.64 	206.97 	195.89 	187.72 	178.03 
A,PRIS_ACT_CAP,P_HTHAB,EL	112.19 	112.53 	115.35 	107.97 	88.52 	88.65 	92.97 	99.19 	101.55 	106.16 
A,PRIS_ACT_CAP,P_HTHAB,ES	151.01 	146.52 	142.88 	139.78 	132.65 	128.31 	126.40 	126.20 	124.67 	116.58 
A,PRIS_ACT_CAP,P_HTHAB,FI	60.80 	61.21 	60.72 	57.75 	57.29 	57.51 	56.00 	53.62 	53.37 	49.79 
A,PRIS_ACT_CAP,P_HTHAB,FR	99.70 	101.98 	102.25 	100.50 	100.29 	102.50 	103.25 	104.69 	105.30 	93.10 
A,PRIS_ACT_CAP,P_HTHAB,HR	118.51 	110.88 	102.11 	88.61 	79.07 	74.16 	76.79 	78.36 	86.67 	87.01 
A,PRIS_ACT_CAP,P_HTHAB,HU	172.35 	172.97 	180.05 	181.12 	177.05 	179.62 	177.01 	176.42 	170.51 	171.21 
A,PRIS_ACT_CAP,P_HTHAB,IE	92.24 	93.55 	89.04 	82.01 	81.12 	78.67 	76.92 	82.02 	81.91 	76.75 
A,PRIS_ACT_CAP,P_HTHAB,IS	47.10 	47.88 	47.23 	47.29 	42.24 	34.88 	40.49 	39.03 	44.26 	38.72 
A,PRIS_ACT_CAP,P_HTHAB,IT	115.09 	112.98 	106.97 	90.07 	87.85 	92.27 	97.44 	101.07 	104.04 	91.56 
A,PRIS_ACT_CAP,P_HTHAB,LI	196.41 	164.50 	184.59 	142.75 	141.84 	191.38 	193.07 	165.29 	112.04 	165.17 
A,PRIS_ACT_CAP,P_HTHAB,LT	324.97 	323.91 	311.62 	293.40 	251.77 	235.93 	231.71 	230.87 	219.67 	190.40 
A,PRIS_ACT_CAP,P_HTHAB,LU	124.45 	126.89 	122.15 	113.88 	122.74 	125.64 	115.80 	108.97 	99.04 	88.96 
A,PRIS_ACT_CAP,P_HTHAB,LV	316.25 	299.15 	253.78 	237.08 	221.99 	215.49 	193.07 	182.07 	177.82 	162.71 
A,PRIS_ACT_CAP,P_HTHAB,ME	214.25 	214.57 	171.37 	180.69 	181.80 	180.48 	179.79 	180.76 	175.19 	130.25 
A,PRIS_ACT_CAP,P_HTHAB,MK	: 	: 	: 	: 	: 	155.99 	146.16 	: 	: 	: 
A,PRIS_ACT_CAP,P_HTHAB,MT	140.73 	140.10 	145.95 	136.58 	129.41 	122.78 	128.40 	133.49 	152.77 	167.91 
A,PRIS_ACT_CAP,P_HTHAB,NL	83.87 	80.53 	75.81 	70.91 	64.20 	62.44 	63.66 	65.48 	68.15 	63.33 
A,PRIS_ACT_CAP,P_HTHAB,NO	78.57 	81.27 	76.59 	: 	: 	80.45 	79.19 	71.59 	66.83 	65.82 
A,PRIS_ACT_CAP,P_HTHAB,PL	217.62 	224.52 	210.61 	208.70 	191.27 	190.19 	196.14 	191.74 	196.49 	180.08 
A,PRIS_ACT_CAP,P_HTHAB,PT	122.53 	131.61 	138.60 	136.16 	138.54 	134.58 	131.79 	126.53 	125.99 	111.71 
A,PRIS_ACT_CAP,P_HTHAB,RO	143.34 	158.33 	167.00 	151.18 	142.59 	138.94 	119.37 	106.46 	105.99 	112.54 
A,PRIS_ACT_CAP,P_HTHAB,RS	152.66 	141.70 	139.68 	143.95 	141.46 	150.81 	153.50 	155.27 	159.07 	152.16 
A,PRIS_ACT_CAP,P_HTHAB,SE	70.83 	66.39 	59.89 	60.21 	58.39 	57.44 	57.16 	60.41 	65.68 	70.66 
A,PRIS_ACT_CAP,P_HTHAB,SI	62.09 	66.99 	66.06 	73.84 	67.82 	63.37 	: 	65.12 	67.09 	69.14 
A,PRIS_ACT_CAP,P_HTHAB,SK	195.18 	200.77 	180.25 	185.01 	182.85 	184.20 	184.50 	189.12 	193.65 	192.73 
A,PRIS_ACT_CAP,P_HTHAB,TR	174.44 	182.03 	192.36 	206.98 	: 	254.92 	292.45 	327.73 	355.53 	322.15 
A,PRIS_ACT_CAP,P_HTHAB,UKC-L	150.95 	150.59 	144.27 	146.35 	146.42 	146.11 	144.19 	138.91 	: 	: 
A,PRIS_ACT_CAP,P_HTHAB,UKM	154.87 	151.84 	148.38 	144.84 	144.57 	140.64 	137.34 	: 	: 	: 
A,PRIS_ACT_CAP,P_HTHAB,UKN	92.45 	92.47 	98.32 	93.02 	78.34 	75.70 	75.59 	75.00 	: 	: 
A,PRIS_ACT_CAP,P_HTHAB,XK	80.32 	: 	: 	: 	: 	93.02 	95.82 	87.13 	100.58 	78.33 
A,PRIS_OFF_CAP,NR,AL	4417 	4577 	4577 	4577 	5484 	5455 	5455 	6236 	6106 	6150 
A,PRIS_OFF_CAP,NR,AT	8773 	8651 	8636 	8666 	8784 	8825 	8746 	8843 	8883 	8869 
A,PRIS_OFF_CAP,NR,BA	3199 	: 	3297 	3358 	3510 	3407 	3587 	3580 	3554 	3502 
A,PRIS_OFF_CAP,NR,BE	9212 	9401 	9715 	: 	9952 	: 	9231 	: 	9231 	9353 
A,PRIS_OFF_CAP,NR,BG	9885 	9493 	8834 	7870 	7408 	8491 	8491 	8241 	8105 	8161 
A,PRIS_OFF_CAP,NR,CH	: 	: 	: 	7235 	7324 	7483 	7489 	7394 	7373 	7397 
A,PRIS_OFF_CAP,NR,CY	370 	370 	370 	: 	480 	: 	528 	528 	566 	: 
A,PRIS_OFF_CAP,NR,CZ	20501 	21307 	20928 	20020 	20782 	20754 	: 	21058 	20096 	19939 
A,PRIS_OFF_CAP,NR,DE	: 	: 	: 	75793 	73916 	73627 	73603 	74386 	72967 	72355 
A,PRIS_OFF_CAP,NR,DK	: 	: 	: 	4153 	3761 	3522 	3592 	3795 	3947 	4095 
A,PRIS_OFF_CAP,NR,EE	3662 	: 	3420 	2962 	: 	2915 	2915 	3334 	3278 	3278 
A,PRIS_OFF_CAP,NR,EL	10376 	9886 	9909 	9886 	9886 	9815 	9935 	9935 	9935 	10175 
A,PRIS_OFF_CAP,NR,ES	: 	: 	: 	: 	: 	64144 	64109 	64237 	64235 	64435 
A,PRIS_OFF_CAP,NR,FI	: 	: 	: 	3083 	3079 	2959 	2922 	2975 	2878 	2997 
A,PRIS_OFF_CAP,NR,FR	57236 	56992 	57516 	57841 	58561 	58681 	59765 	60151 	61037 	60583 
A,PRIS_OFF_CAP,NR,HR	3921 	3921 	3921 	4022 	4022 	: 	3900 	3900 	3919 	3919 
A,PRIS_OFF_CAP,NR,HU	12604 	12573 	12584 	12584 	13209 	13774 	14011 	14149 	14866 	15905 
A,PRIS_OFF_CAP,NR,IE	4480 	4622 	4244 	4145 	4695 	: 	: 	: 	: 	: 
A,PRIS_OFF_CAP,NR,IS	: 	141 	164 	155 	148 	140 	: 	: 	: 	: 
A,PRIS_OFF_CAP,NR,IT	46452 	47864 	48559 	50282 	50239 	50806 	51078 	51141 	51252 	51126 
A,PRIS_OFF_CAP,NR,LI	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 
A,PRIS_OFF_CAP,NR,LT	9399 	9399 	9399 	9399 	9399 	8011 	8011 	8011 	7236 	7236 
A,PRIS_OFF_CAP,NR,LU	: 	: 	: 	711 	711 	711 	711 	711 	711 	711 
A,PRIS_OFF_CAP,NR,LV	: 	7970 	8144 	5852 	5871 	4409 	5890 	5287 	4822 	4822 
A,PRIS_OFF_CAP,NR,ME	1116 	1116 	1116 	: 	: 	1375 	1345 	1345 	1333 	1333 
A,PRIS_OFF_CAP,NR,MK	1941 	: 	: 	: 	: 	: 	2519 	: 	: 	: 
A,PRIS_OFF_CAP,NR,MT	618 	646 	628 	622 	622 	675 	675 	878 	952 	952 
A,PRIS_OFF_CAP,NR,NL	15509 	15731 	15283 	14665 	14299 	: 	12075 	12376 	11613 	12096 
A,PRIS_OFF_CAP,NR,NO	: 	: 	: 	3916 	3850 	3880 	3885 	3885 	3646 	3816 
A,PRIS_OFF_CAP,NR,PL	87961 	88498 	88662 	87742 	89164 	89178 	86868 	85940 	85750 	86071 
A,PRIS_OFF_CAP,NR,PT	12330 	12342 	12400 	12591 	12591 	12600 	12694 	12934 	12934 	12923 
A,PRIS_OFF_CAP,NR,RO	26618 	27125 	29389 	28901 	27479 	27889 	20408 	19414 	19522 	19532 
A,PRIS_OFF_CAP,NR,RS	6924 	9000 	9200 	9340 	9459 	9802 	9892 	10307 	10323 	11079 
A,PRIS_OFF_CAP,NR,SE	7045 	6963 	6675 	6475 	6262 	6252 	6147 	6539 	6657 	6959 
A,PRIS_OFF_CAP,NR,SI	1309 	1309 	1293 	1293 	1322 	1322 	1339 	1339 	1339 	1327 
A,PRIS_OFF_CAP,NR,SK	11201 	11304 	11812 	11828 	11184 	11033 	10941 	11499 	11625 	11625 
A,PRIS_OFF_CAP,NR,TR	116754 	142460 	154115 	163129 	177636 	202675 	208780 	213862 	239721 	245200 
A,PRIS_OFF_CAP,NR,UKC-L	92211 	92933 	88444 	89739 	89116 	89170 	88849 	88491 	: 	: 
A,PRIS_OFF_CAP,NR,UKN	1765 	1765 	1905 	1914 	1793 	: 	: 	1855 	: 	: 
A,PRIS_OFF_CAP,NR,XK	1484 	1785 	2127 	2132 	2394 	2290 	2290 	1567 	2590 	2552 
A,PRIS_OFF_CAP,P_HTHAB,AL	155.98 	: 	: 	158.04 	190.03 	189.70 	189.63 	217.26 	213.32 	216.10 
A,PRIS_OFF_CAP,P_HTHAB,AT	104.75 	102.89 	102.18 	101.87 	102.31 	101.43 	99.69 	100.24 	100.27 	99.64 
A,PRIS_OFF_CAP,P_HTHAB,BA	83.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PRIS_OFF_CAP,P_HTHAB,BE	83.74 	84.73 	87.04 	: 	88.56 	: 	81.32 	: 	80.58 	81.17 
A,PRIS_OFF_CAP,P_HTHAB,BG	134.14 	129.56 	121.27 	108.62 	102.86 	118.69 	119.56 	116.89 	115.79 	117.40 
A,PRIS_OFF_CAP,P_HTHAB,CH	: 	: 	: 	: 	88.91 	89.86 	88.95 	87.15 	86.29 	85.95 
A,PRIS_OFF_CAP,P_HTHAB,CY	44.06 	42.92 	42.73 	: 	56.67 	: 	61.77 	61.09 	64.62 	: 
A,PRIS_OFF_CAP,P_HTHAB,CZ	195.49 	202.82 	199.01 	190.44 	197.20 	196.65 	: 	198.47 	188.70 	186.45 
A,PRIS_OFF_CAP,P_HTHAB,DE	: 	: 	: 	93.84 	91.03 	89.60 	89.19 	89.85 	87.89 	87.00 
A,PRIS_OFF_CAP,P_HTHAB,DK	: 	: 	: 	73.80 	66.45 	61.71 	62.48 	65.64 	67.98 	70.33 
A,PRIS_OFF_CAP,P_HTHAB,EE	275.41 	: 	259.06 	225.11 	: 	221.51 	221.57 	252.74 	247.43 	246.66 
A,PRIS_OFF_CAP,P_HTHAB,EL	93.28 	89.17 	90.05 	90.47 	91.05 	91.02 	92.26 	92.49 	92.64 	94.93 
A,PRIS_OFF_CAP,P_HTHAB,ES	: 	: 	: 	: 	: 	138.12 	137.79 	137.67 	136.85 	136.13 
A,PRIS_OFF_CAP,P_HTHAB,FI	: 	: 	: 	56.56 	56.27 	53.92 	53.10 	53.96 	52.16 	54.24 
A,PRIS_OFF_CAP,P_HTHAB,FR	88.08 	87.31 	87.68 	87.71 	88.08 	88.06 	89.46 	89.74 	90.86 	89.99 
A,PRIS_OFF_CAP,P_HTHAB,HR	91.40 	91.70 	92.00 	94.71 	95.19 	: 	93.88 	94.99 	96.14 	96.57 
A,PRIS_OFF_CAP,P_HTHAB,HU	126.22 	126.59 	127.00 	127.40 	134.02 	140.11 	143.00 	144.70 	152.12 	162.80 
A,PRIS_OFF_CAP,P_HTHAB,IE	98.01 	100.86 	92.44 	90.00 	101.43 	: 	: 	: 	: 	: 
A,PRIS_OFF_CAP,P_HTHAB,IS	: 	44.12 	50.95 	47.59 	44.97 	42.10 	: 	: 	: 	: 
A,PRIS_OFF_CAP,P_HTHAB,IT	78.25 	80.59 	81.36 	83.04 	82.95 	83.75 	84.30 	84.55 	85.68 	85.72 
A,PRIS_OFF_CAP,P_HTHAB,LI	55.33 	54.83 	54.29 	53.87 	53.52 	53.16 	52.90 	52.47 	52.11 	51.62 
A,PRIS_OFF_CAP,P_HTHAB,LT	307.90 	312.92 	316.26 	319.32 	321.74 	277.34 	281.29 	285.20 	258.97 	258.98 
A,PRIS_OFF_CAP,P_HTHAB,LU	: 	: 	: 	129.35 	126.30 	123.38 	120.37 	118.11 	115.82 	113.56 
A,PRIS_OFF_CAP,P_HTHAB,LV	: 	389.77 	402.41 	292.39 	294.65 	223.93 	302.03 	273.32 	251.15 	252.77 
A,PRIS_OFF_CAP,P_HTHAB,ME	180.04 	179.91 	179.74 	: 	: 	220.98 	216.10 	216.11 	214.25 	214.35 
A,PRIS_OFF_CAP,P_HTHAB,MK	94.35 	: 	: 	: 	: 	: 	121.47 	: 	: 	: 
A,PRIS_OFF_CAP,P_HTHAB,MT	148.92 	154.71 	149.04 	146.22 	141.46 	149.86 	146.64 	184.57 	192.88 	185.01 
A,PRIS_OFF_CAP,P_HTHAB,NL	93.11 	94.03 	91.08 	87.14 	84.61 	: 	70.69 	72.03 	67.20 	69.49 
A,PRIS_OFF_CAP,P_HTHAB,NO	: 	: 	: 	76.66 	74.52 	74.46 	73.88 	73.36 	68.43 	71.09 
A,PRIS_OFF_CAP,P_HTHAB,PL	231.09 	232.50 	232.94 	230.79 	234.61 	234.88 	228.76 	226.30 	225.82 	226.75 
A,PRIS_OFF_CAP,P_HTHAB,PT	116.62 	117.07 	118.24 	120.75 	121.36 	121.84 	123.13 	125.68 	125.86 	125.52 
A,PRIS_OFF_CAP,P_HTHAB,RO	124.30 	134.98 	146.80 	144.89 	138.29 	141.13 	103.89 	99.39 	100.55 	101.05 
A,PRIS_OFF_CAP,P_HTHAB,RS	95.48 	124.71 	128.11 	130.69 	132.96 	138.52 	140.51 	147.21 	148.24 	159.95 
A,PRIS_OFF_CAP,P_HTHAB,SE	74.82 	73.43 	69.85 	67.13 	64.24 	63.47 	61.50 	64.61 	65.07 	67.38 
A,PRIS_OFF_CAP,P_HTHAB,SI	63.85 	63.68 	62.80 	65.50 	66.85 	64.04 	64.81 	64.78 	64.35 	63.32 
A,PRIS_OFF_CAP,P_HTHAB,SK	207.72 	209.17 	218.30 	218.39 	206.30 	203.33 	201.29 	211.26 	213.29 	213.00 
A,PRIS_OFF_CAP,P_HTHAB,TR	158.37 	190.65 	203.78 	212.77 	228.63 	257.39 	261.58 	264.65 	292.33 	294.87 
A,PRIS_OFF_CAP,P_HTHAB,UKC-L	164.86 	164.86 	155.83 	156.95 	154.52 	153.39 	151.72 	150.08 	: 	: 
A,PRIS_OFF_CAP,P_HTHAB,UKN	97.54 	97.03 	104.29 	104.18 	97.07 	: 	: 	98.88 	: 	: 
A,PRIS_OFF_CAP,P_HTHAB,XK	82.71 	: 	: 	: 	: 	129.26 	128.40 	87.13 	144.24 	143.20 
